item_num,item,is_test_item,is_distractor,is_agree_score,is_disagree_score
1,I can easily tell if someone else wants to enter a conversation.,1,0,1,0
2,I prefer animals to humans.,0,1,0,0
3,I try to keep up with the current trends and fashions.,0,1,0,0
4,"I find it difficult to explain to others things that I understand easily, 
  when they don’t understand it first time.",1,0,0,1
5,I dream most nights.,0,1,0,0
6,I really enjoy caring for other people.,1,0,1,0
7,I try to solve my own problems rather than discussing them with others.,0,1,0,0
8,I find it hard to know what to do in a social situation.,1,0,0,1
9,I am at my best first thing in the morning.,0,1,0,0
10,"People often tell me that I went too far in driving my point home in a 
  discussion.",1,0,0,1
11,It doesn’t bother me too much if I am late meeting a friend.,1,0,0,1
12,"Friendships and relationships are just too difficult, so I tend not to 
  bother with them.",1,0,0,1
13,"I would never break a law, no matter how minor.",0,1,0,0
14,I often find it difficult to judge if something is rude or polite.,1,0,0,1
15,"In a conversation, I tend to focus on my own thoughts rather than on what 
  my listener might be thinking.",1,0,0,1
16,I prefer practical jokes to verbal humor.,0,1,0,0
17,I live life for today rather than the future.,0,1,0,0
18,"When I was a child, I enjoyed cutting up worms to see what would happen.",1,0,0,1
19,I can pick up quickly if someone says one thing but means another.,1,0,1,0
20,I tend to have very strong opinions about morality.,0,1,0,0
21,It is hard for me to see why some things upset people so much.,1,0,0,1
22,I find it easy to put myself in somebody else’s shoes.,1,0,1,0
23,"I think that good manners are the most important thing a parent can teach 
  their child.",0,1,0,0
24,I like to do things on the spur of the moment.,0,1,0,0
25,I am good at predicting how someone will feel.,1,0,1,0
26,"I am quick to spot when someone in a group is feeling awkward or 
  uncomfortable.",1,0,1,0
27,"If I say something that someone else is offended by, I think that that’s 
  their problem, not mine.",1,0,0,1
28,"If anyone asked me if I liked their haircut, I would reply truthfully, even 
  if I didn’t like it.",1,0,0,1
29,I can’t always see why someone should have felt offended by a remark.,1,0,0,1
30,People often tell me that I am very unpredictable.,0,1,0,0
31,I enjoy being the center of attention at any social gathering.,0,1,0,0
32,Seeing people cry doesn’t really upset me.,1,0,0,1
33,I enjoy having discussions about politics.,0,1,0,0
34,"I am very blunt, which some people take to be rudeness, even though this is 
  unintentional.",1,0,0,1
35,I don’t tend to find social situations confusing.,1,0,1,0
36,"Other people tell me I am good at understanding how they are feeling and 
  what they are thinking.",1,0,1,0
37,"When I talk to people, I tend to talk about their experiences rather than 
  my own.",1,0,1,0
38,It upsets me to see an animal in pain.,1,0,1,0
39,I am able to make decisions without being influenced by people’s feelings.,1,0,0,1
40,I can’t relax until I have done everything I had planned to do that day.,0,1,0,0
41,"I can easily tell if someone else is interested or bored with what I am 
  saying.",1,0,1,0
42,I get upset if I see people suffering on news programmes.,1,0,1,0
43,"Friends usually talk to me about their problems as they say that I am very 
  understanding.",1,0,1,0
44,"I can sense if I am intruding, even if the other person doesn’t tell me.",1,0,1,0
45,"I often start new hobbies but quickly become bored with them and move on to 
  something else.",0,1,0,0
46,People sometimes tell me that I have gone too far with teasing.,1,0,0,1
47,I would be too nervous to go on a big rollercoaster.,0,1,0,0
48,"Other people, often say that I am insensitive, though I don’t always see 
  why.",1,0,0,1
49,"If I see a stranger in a group, I think that it is up to them to make an 
  effort to join in.",1,0,0,1
50,I usually stay emotionally detached when watching a film.,1,0,0,1
51,"I like to be very organized in day-to-day life and often make lists of the 
  chores I have to do.",0,1,0,0
52,I can tune into how someone else feels rapidly and intuitively.,1,0,1,0
53,I don’t like to take risks.,0,1,0,0
54,I can easily work out what another person might want to talk about.,1,0,1,0
55,I can tell if someone is masking their true emotion.,1,0,1,0
56,Before making a decision I always weigh up the pros and cons.,0,1,0,0
57,I don’t consciously work out the rules of social situations.,1,0,1,0
58,I am good at predicting what someone will do.,1,0,1,0
59,I tend to get emotionally involved with a friend’s problems.,1,0,1,0
60,"I can usually appreciate the other person’s viewpoint, even if I don’t 
  agree with it.",1,0,1,0
