stim,word,correct_response,button_real,button_false
1,terzo,0,REAL,FAKE
2,pellizcar,1,REAL,FAKE
3,pulmones,1,REAL,FAKE
4,batillón,0,REAL,FAKE
5,zapato,1,REAL,FAKE
6,tergiversar,1,REAL,FAKE
7,pésimo,1,REAL,FAKE
8,cadeña,0,REAL,FAKE
9,hacha,1,REAL,FAKE
10,antar,0,REAL,FAKE
11,cenefa,1,REAL,FAKE
12,asesinato,1,REAL,FAKE
13,helar,1,REAL,FAKE
14,yunque,1,REAL,FAKE
15,regar,1,REAL,FAKE
16,abracer,0,REAL,FAKE
17,floroso,0,REAL,FAKE
18,arsa,0,REAL,FAKE
19,brecedad,0,REAL,FAKE
20,ávido,1,REAL,FAKE
21,capillo,0,REAL,FAKE
22,lacayo,1,REAL,FAKE
23,lampera,0,REAL,FAKE
24,látigo,1,REAL,FAKE
25,bisagra,1,REAL,FAKE
26,secuestro,1,REAL,FAKE
27,acutación,0,REAL,FAKE
28,merodear,1,REAL,FAKE
29,decar,0,REAL,FAKE
30,alardio,0,REAL,FAKE
31,pandilla,1,REAL,FAKE
32,fatacidad,0,REAL,FAKE
33,pauca,0,REAL,FAKE
34,aviso,1,REAL,FAKE
35,rompido,0,REAL,FAKE
36,loro,1,REAL,FAKE
37,granuja,1,REAL,FAKE
38,estornudar,1,REAL,FAKE
39,torpe,1,REAL,FAKE
40,alfombra,1,REAL,FAKE
41,rebuscar,1,REAL,FAKE
42,cadallo,0,REAL,FAKE
43,canela,1,REAL,FAKE
44,cuchara,1,REAL,FAKE
45,jilguero,1,REAL,FAKE
46,martillo,1,REAL,FAKE
47,cartinar,0,REAL,FAKE
48,ladrón,1,REAL,FAKE
49,ganar,1,REAL,FAKE
50,flamida,0,REAL,FAKE
51,candado,1,REAL,FAKE
52,camisa,1,REAL,FAKE
53,vegada,0,REAL,FAKE
54,fomentar,1,REAL,FAKE
55,nevar,1,REAL,FAKE
56,musgo,1,REAL,FAKE
57,tacaño,1,REAL,FAKE
58,plaudir,0,REAL,FAKE
59,besar,1,REAL,FAKE
60,matar,1,REAL,FAKE
61,seda,1,REAL,FAKE
62,flaco,1,REAL,FAKE
63,esposante,0,REAL,FAKE
64,orgulloso,1,REAL,FAKE
65,bizcocho,1,REAL,FAKE
66,hacido,0,REAL,FAKE
67,cabello,1,REAL,FAKE
68,alegre,1,REAL,FAKE
69,engatusar,1,REAL,FAKE
70,temblo,0,REAL,FAKE
71,polvoriento,1,REAL,FAKE
72,pemición,0,REAL,FAKE
73,hervidor,1,REAL,FAKE
74,cintro,0,REAL,FAKE
75,yacer,1,REAL,FAKE
76,atar,1,REAL,FAKE
77,tiburón,1,REAL,FAKE
78,frondoso,1,REAL,FAKE
79,tropaje,0,REAL,FAKE
80,hormiga,1,REAL,FAKE
81,pozo,1,REAL,FAKE
82,empirador,0,REAL,FAKE
83,guante,1,REAL,FAKE
84,escuto,0,REAL,FAKE
85,laúd,1,REAL,FAKE
86,barato,1,REAL,FAKE
87,grodo,0,REAL,FAKE
88,acantilado,1,REAL,FAKE
89,prisa,1,REAL,FAKE
90,clavel,1,REAL,FAKE
